url,price,price_text,duplicate
https://www.homes.co.jp/mansion/b-1257460009171/,4499,"4,499",no
https://www.homes.co.jp/mansion/b-1436790000384/,980,980,no
https://www.homes.co.jp/mansion/b-1127950052897/,1890,"1,890",no
https://www.homes.co.jp/mansion/b-1127950074526/,0,,no
https://www.homes.co.jp/mansion/b-1127950074519/,1830,"1,830万円1K/21.38m²",no
https://www.homes.co.jp/mansion/b-1493740003947/,1790,"1,790万円1K/21.38m²",no
https://www.homes.co.jp/mansion/b-1371630000412/,0,,no
https://www.homes.co.jp/mansion/b-39030740000875/,2180,"2,180万円1DK/32.47m²",no
https://www.homes.co.jp/mansion/b-1127950064206/,2300,"2,300",no
https://www.homes.co.jp/mansion/b-1032300008305/,0,,no
https://www.homes.co.jp/mansion/b-1493740008757/,1880,"1,880万円1K/21.26m²",no
https://www.homes.co.jp/mansion/b-1529330000214/,0,,no
https://www.homes.co.jp/mansion/b-1182190001133/,3380,"3,380万円3LDK/64.97m²",no
https://www.homes.co.jp/mansion/b-1231700006121/,3890,"3,890万円3LDK/64.97m²",no
https://www.homes.co.jp/mansion/b-1542050000001/,0,,no
https://www.homes.co.jp/mansion/b-1127950075476/,2400,"2,400万円1K/25.96m²",no
https://www.homes.co.jp/mansion/b-1009480116865/,0,,no
https://www.homes.co.jp/mansion/b-1552810000003/,2680,"2,680万円2LDK/69.33m²",no
https://www.homes.co.jp/mansion/b-1365310011394/,2480,"2,480万円2LDK/69.3m²",no
https://www.homes.co.jp/mansion/b-1009480117697/,2450,"2,450万円3LDK/71.1m²",no
https://www.homes.co.jp/mansion/b-1127950075373/,1850,"1,850",no
https://www.homes.co.jp/mansion/b-1368970005003/,0,,no
https://www.homes.co.jp/mansion/b-1365310011373/,3890,"3,890万円3LDK/64.9m²",no
https://www.homes.co.jp/mansion/b-89390005047/,3410,"3,410万円3LDK/65.1m²",no
https://www.homes.co.jp/mansion/b-1365310011408/,3488,"3,488万円2SLDK/64.5m²",no
https://www.homes.co.jp/mansion/b-8920149857/,3599,"3,599",no
https://www.homes.co.jp/mansion/b-1392860001062/,4500,"4,500",no
https://www.homes.co.jp/mansion/b-93050000546/,4700,"4,700",no
https://www.homes.co.jp/mansion/b-1127950068813/,1450,"1,450",no
https://www.homes.co.jp/mansion/b-1465960004806/,3380,"3,380",no
https://www.homes.co.jp/mansion/b-1188950012210/,3690,"3,690",no
https://www.homes.co.jp/mansion/b-35503110011290/,2700,"2,700",no
https://www.homes.co.jp/mansion/b-1009480114387/,0,,no
https://www.homes.co.jp/mansion/b-91240000468/,3180,"3,180万円3LDK/72.45m²",no
https://www.homes.co.jp/mansion/b-1240210002096/,4290,"4,290",no
https://www.homes.co.jp/mansion/b-1231700006279/,4380,"4,380",no
https://www.homes.co.jp/mansion/b-1188950012218/,4290,"4,290",no
https://www.homes.co.jp/mansion/b-35503120004751/,2480,"2,480",no
https://www.homes.co.jp/mansion/b-1251430002216/,4780,"4,780",no
https://www.homes.co.jp/mansion/b-1127950074873/,0,,no
https://www.homes.co.jp/mansion/b-1127950070514/,1980,"1,980万円3LDK/70m²",no
https://www.homes.co.jp/mansion/b-1009480117610/,1700,"1,700万円3LDK/70m²",no
https://www.homes.co.jp/mansion/b-1453590000020/,2430,"2,430",no
https://www.homes.co.jp/mansion/b-1009480117110/,4980,"4,980",no
https://www.homes.co.jp/mansion/b-93050000522/,3680,"3,680",no
https://www.homes.co.jp/mansion/b-93050000454/,2590,"2,590",no
https://www.homes.co.jp/mansion/b-1009480117752/,2499,"2,499",no
https://www.homes.co.jp/mansion/b-1127950074625/,0,,no
https://www.homes.co.jp/mansion/b-1365310011384/,4180,"4,180万円2LDK/58.5m²",no
https://www.homes.co.jp/mansion/b-37050730003078/,3400,"3,400万円ワンルーム/53.01m²",no
https://www.homes.co.jp/mansion/b-1373860001299/?referral_content=dy_recommend_nextml:list,490,490万円,no
